NO,국문,영문,학명,관리현황,분류군,학명-수정,특성
11,범무늬왕달팽이,Giant ghana african snail,Achatina achatina</em>,유입주의 생물,무척추동물,Achatina achatina,"Achatina achatina, commonly known as the giant African snail, also known as the giant tiger land snail, and gigantocochlea , is a species of large, air-breathing land snail, a terrestrial pulmonate gastropod mollusk in the family Achatinidae. The name ""Achatina"" is from ""achates"", Greek for agate. It shares the common name ""giant African snail"" with other species of snails such as Lissachatina fulica and Archachatina marginata."
12,분홍입술왕달팽이,Pink-lipped agate snail,Achatina immaculata</em>,유입주의 생물,무척추동물,Achatina immaculata,"Lissachatina immaculata is a species of very large, air-breathing land snail, a terrestrial pulmonate gastropod mollusk in the family Achatinidae. Usually grows to 12–15 cm."
13,러시아납지리,Russian Bitterling,Acheilognathus asmussii</em>,유입주의 생물,어류,Acheilognathus asmussii,"The Russian bitterling (Acheilognathus asmussii), or spiny bitterling, is a temperate freshwater fish belonging to the Acheilognathinae sub-family of the  family Cyprinidae.  It originates in the Amur River basin in Asia, and is found in China and Russia. 
It was originally described as Devario asmussii possibly in honor of German entomologist Eduard Assmuss (1838-1882) by Benedykt Dybowski in 1872.
The fish will grow in length up to 16 centimetres (6 in).  It lives in a temperate climate in wat"
14,붉은다비라납지리,Red tabira bitterling,Acheilognathus tabira erythropterus,유입주의 생물,어류,Acheilognathus tabira erythropterus,"Acheilognathus tabira erythropterus is a subspecies of Acheilognathus tabira.


== References =="
15,다비라납자루,Red tabira bitterling,Acheilognathus tabira</em>,유입주의 생물,어류,Acheilognathus tabira,Acheilognathus tabira is a species of ray-finned fish in the genus Acheilognathus. The species is endemic to Japan.
16,숲찌르레기,Jungle myna,Acridotheres fuscus</em>,유입주의 생물,조류,Acridotheres fuscus,"The jungle myna (Acridotheres fuscus) is a myna, a member of the starling family. It is found patchily distributed across much of the mainland of the Indian Subcontinent but absent in the arid zones of India. It is easily recognized by the tuft of feathers on its forehead that form a frontal crest, a feature also found in the closely related Javan myna and the pale-bellied myna which were treated as a subspecies in the past. The eyes are pale, yellow or blue depending on the population and the b"
17,회색뿔찌르레기,,Acridotheres ginginianus</em>,유입주의 생물,조류,Acridotheres ginginianus,"The bank myna (Acridotheres ginginianus) is a myna found in the northern parts of South Asia. It is smaller but similar in colouration to the common myna, only differing in having brick-red naked skin behind the eyes instead of yellow. It is greyer on the underside and in this and in the presence of a slight tuft of feathers bears some resemblance to the jungle myna. They are found in flocks on the plains of northern and central India, often within towns and cities. Their range appears to be ext"
18,자바찌르레기,,Acridotheres javanicus</em>,유입주의 생물,조류,Acridotheres javanicus,"The Javan myna (Acridotheres javanicus), also known as the white-vented myna, is a species of myna. It is a member of the starling family. It is native to Bali and Java. It has been introduced to other Asian countries, and as far away as Puerto Rico."
19,검은목갈색찌르레기,Common myna,Acridotheres tristis</em>,유입주의 생물,조류,Acridotheres tristis,"The common myna or Indian myna (Acridotheres tristis), sometimes spelled mynah, is a bird in the family Sturnidae, native to Asia. An omnivorous open woodland bird with a strong territorial instinct, the common myna has adapted extremely well to urban environments.
The range of the common myna is increasing at such a rapid rate that in 2000 the IUCN Species Survival Commission declared it one of the world's most invasive species and one of only three birds listed among ""100 of the World's Worst "
20,지중해염소풀,,Aegilops geniculata</em> Roth,유입주의 생물,식물,Aegilops geniculata,"Aegilops geniculata is a species of grass known by the common name ovate goatgrass. It is native to the Mediterranean and western Asia, including Palestine and the Levant.
Elsewhere it is known as a noxious weed."
21,야생염소풀,"Tausch&apos;s goatgrass, Rough-spiked hardgrass",Aegilops tauschii</em> Coss.,유입주의 생물,식물,Aegilops tauschii,"Aegilops tauschii, the Tausch's goatgrass or rough-spike hard grass, is an annual grass species. It is native to Crimea, the Caucasus region, western and Central Asia, Afghanistan, Pakistan, the western Himalaya, and parts of China, and has been introduced to other locales, including California."
22,가시염소풀,,Aegilops triuncialis</em> L.,유입주의 생물,식물,Aegilops triuncialis,"Aegilops triuncialis, or barbed goatgrass, is a grass species of the family Poaceae. It is a winter annual native to many areas in Eastern and Mediterranean Europe and Western Asia.  It is considered an introduced, invasive species in North America, mainly in the Western coast of the United States. In its native lands, the grass thrives in mainly rocky, serpentine soil, but also does well in grasslands and ruderal/disturbed ground as well as oak woodlands."
23,유럽독미나리,,Aethusa cynapium</em> L.,유입주의 생물,식물,Aethusa cynapium,"Aethusa cynapium (fool's parsley, fool's cicely, or poison parsley) is an annual (rarely biennial) herb in the flowering plant family Apiaceae, native to Europe, western Asia, and northwest Africa. It is the only member of the genus Aethusa. It is related to hemlock and water-dropwort, and like them it is poisonous, though less so than hemlock. It has been introduced into many other parts of the world and is a common weed in cultivated ground."
24,강변등골나물,Mistflower,Ageratina riparia</em> (Regel) R.M. King &amp; H. Rob.,유입주의 생물,식물,Ageratina riparia,"Mistflower is a common name for several plant species in the tribe Eupatorieae, especially:

Ageratina riparia, native to Mexico, Cuba and Jamaica, and an invasive species in New Zealand and many tropical areas
Members of the genus Conoclinium native to Canada, the United States and northern Mexico:
Conoclinium betonicifolium, Padre Island mistflower
Conoclinium coelestinum, blue mistflower
Conoclinium dissectum, palm-leaf mistflower"
25,사막개밀,"Desert wheatgrass, Clustered wheat grass",Agropyron desertorum</em> Schult.,유입주의 생물,식물,Agropyron desertorum,"Agropyron desertorum (clustered wheat grass, desert crested wheatgrass, desert wheatgrass, standard crested wheatgrass; syn. Agropyron cristatum subsp. desertorum (Fisch. ex Link) A. Löve, Agropyron cristatum var. desertorum (Fisch. ex Link) Dorn) is a plant species in the family Poaceae which was originally from Russian and Siberian steppes until it was introduced to the United States from there between 1907 and 1913. Prior to its introduction it was believed that Desert wheatgrass and crested "
26,블릭,Bleak,Alburnus alburnus</em>,유입주의 생물,어류,Alburnus alburnus,Bleak may refer to:
27,다뉴브블릭,Danube bleak,Alburnus chalcoides</em>,유입주의 생물,어류,Alburnus chalcoides,"The Danube bleak or Caspian shemaya (Alburnus chalcoides) is a species of freshwater fish in the family Cyprinidae. It is found in Iran, Ukraine, Georgia, Armenia, Slovakia, Moldova, Greece, Czechia, Azerbaijan, Turkiye, Afghanistan, Austria, Bosnia and Herzegovina, Bulgaria, Croatia, Switzerland, Germany, Hungary, Italy, Romania, Russia, Serbia, Slovenia, Turkmenistan, and Uzbekistan."
28,사막가시골담초,"Camelthorn, Camelthorn-bush",Alhagi maurorum</em> Medik.,유입주의 생물,식물,Alhagi maurorum,"Alhagi maurorum is a species of legume commonly known, variously, as camelthorn, Alhalgi Psuedahalgi, Caspian manna, and Persian mannaplant. This shrub is native to the region extending from the Mediterranean to Russia, but has been introduced to many other areas of the world, including Australia, southern Africa, and the western United States. The perennial plant grows from a massive rhizome system which may extend over six feet into the ground. New shoots can appear over 20 feet from the paren"
29,이집트기러기,,Alopochen aegyptiaca</em>,유입주의 생물,조류,Alopochen aegyptiaca,"The Egyptian goose (Alopochen aegyptiaca) is an African member of the duck family Anatidae. Because of their popularity chiefly as an ornamental bird, the species has also been introduced to Europe, United States and elsewhere outside their natural range. Egyptian geese were considered sacred by the Ancient Egyptians, and appeared in much of their artwork."
30,회색청어,Alewife,Alosa pseudoharengus</em>,유입주의 생물,어류,Alosa pseudoharengus,"Alewife may refer to:

Alewife (fish), a North American herring
Alewife (trade), a female brewer
Alewife station, in Cambridge, Massachusetts
""Alewife"", a song from the Clairo album Immunity
Alewife Brook Reservation, a state park in Massachusetts
Alewife Brook Parkway, in Massachusetts
Alewife Linear Park, in Massachusetts
Alewife (multiprocessor), a computer system"
31,아메리카청어,American shad,Alosa sapidissima</em>,유입주의 생물,어류,Alosa sapidissima,"The American shad (Alosa sapidissima) is a species of anadromous clupeid fish naturally distributed on the North American coast of the North Atlantic, from Newfoundland to Florida, and as an introduced species on the North Pacific coast. The American shad is not closely related to the other North American shads.  Rather, it seems to form a lineage that diverged from a common ancestor of the European taxa before these diversified.The American shad has been described as ""the fish that fed the (Ame"
32,가시땅비름,Khaki weed,Alternanthera pungens</em> Kunth,유입주의 생물,식물,Alternanthera pungens,"Khakiweed is a common name for several plants in the genus Alternanthera and may refer to:

Alternanthera caracasana, native to Central and South America
Alternanthera pungens"
33,열매비름,,Amaranthus polygonoides</em> L.,유입주의 생물,식물,Amaranthus polygonoides,"Amaranthus polygonoides is a species of flowering plant found in North America and the Caribbean. It goes by the common name of tropical amaranth.


== References =="
34,북미검정동자개,Black bullhead,Ameiurus melas</em>,유입주의 생물,어류,Ameiurus melas,"The black bullhead or black bullhead catfish (Ameiurus melas) is a species of bullhead catfish. Like other bullhead catfish, it has the ability to thrive in waters that are low in oxygen, brackish, turbid and/or very warm. It also has barbels located near its mouth, a broad head, spiny fins, and no scales. It can be identified from other bullheads as the barbels are black, and it has a tan crescent around the tail. Its caudal fin is truncated (squared off at the corners). Like virtually all catf"
35,북미갈색동자개,Brown bullhead,Ameiurus nebulosus</em>,유입주의 생물,어류,Ameiurus nebulosus,"The brown bullhead (Ameiurus nebulosus) is a fish of the family Ictaluridae that is widely distributed in North America. It is a species of bullhead catfish and is similar to the black bullhead (Ameiurus melas) and yellow bullhead (Ameiurus natalis). It was originally described as Pimelodus nebulosus by Charles Alexandre Lesueur in 1819, and is also referred to as Ictalurus nebulosus.
The brown bullhead is also widely known as the ""mud pout"", ""horned pout"", ""hornpout"", or simply ""mud cat"", a nam"
36,거대어미바도마뱀,Giant ameiva,Ameiva ameiva</em>,"외래생물, 유입주의 생물",파충류,Ameiva ameiva,"There are three species of lizard named giant ameiva:

Ameiva ameiva
Ameiva atrigularis
Ameiva praesignis"
37,꼬마채진목,"Low juneberry, Thicket shadbush, Dwarf serviceberry, Low serviceberry",Amelanchier spicata</em> (Lam.) K.Koch,유입주의 생물,식물,Amelanchier spicata,"Amelanchier × spicata, also referred to as the low juneberry, thicket shadbush, dwarf serviceberry, or low serviceberry (historically also called ""pigeon berry""), is a hybrid of Amelanchier alnifolia × Amelanchier humilis.  that has edible fruit, which are really pomes. They can be eaten raw or cooked. Amelanchier × spicata has clusters of small white flowers that bloom in spring.
Amelanchier × spicata is native to North America. It is a very hardy species, and is considered invasive in Scandina"
38,남방가는나래새,,Amelichloa brachychaeta</em> (Godr.) Arriaga &amp; Barkworth,유입주의 생물,식물,Amelichloa brachychaeta,
39,보핀,Bowfin,Amia calva</em>,유입주의 생물,어류,Amia calva,"The bowfin (Amia calva) is a bony fish, native to North America. Common names include mudfish, mud pike, dogfish, grindle, grinnel, swamp trout, and choupique. It is regarded as a relict, being one of only two surviving species of the Halecomorphi, a group of fish that first appeared during the Early Triassic, around 250 million years ago. The bowfin is often considered a ""primitive fish"" because they have retained some morphological characteristics of their early ancestors. It is one of two spe"
40,미다스키클리드,Midas cichlid,Amphilophus citrinellus</em>,유입주의 생물,어류,Amphilophus citrinellus,"Amphilophus citrinellus is a large cichlid fish endemic to the San Juan River and adjacent watersheds in Costa Rica and Nicaragua. In the aquarium trade A. citrinellus is often sold under the trade name of Midas cichlid. A. citrinellus are omnivorous and their diet consists of plant material, molluscs and smaller fish. The species is closely related to, but not to be mistaken for, Amphilophus labiatus, which shares the nickname red devil cichlid."
41,대평원두꺼비,,Anaxyrus cognatus</em>,유입주의 생물,양서류,Anaxyrus cognatus,The Great Plains toad (Anaxyrus cognatus) is a relatively large species of true toad native to central North America.
42,붉은점박이두꺼비,,Anaxyrus punctatus</em>,유입주의 생물,양서류,Anaxyrus punctatus,"The red-spotted toad (Anaxyrus punctatus), formerly Bufo punctatus, is a toad in the family Bufonidae found in the southwestern United States and northwestern Mexico."
43,참나무두꺼비,,Anaxyrus quercicus</em>,유입주의 생물,양서류,Anaxyrus quercicus,"The oak toad (Anaxyrus quercicus) is a species of toad in the family Bufonidae. It is endemic to the coastal regions of southeastern United States. It is regarded as the smallest species of toad in North America, with a length of 19 to 33 mm (0.75 to 1.30 in)."
44,아프리카나도솔새,Gamba grass,Andropogon gayanus</em> Kunth,유입주의 생물,식물,Andropogon gayanus,"Andropogon gayanus. commonly known as gamba grass, Rhodesian blue grass, tambuki grass, and other names, is a species of grass native to most of the tropical and subtropical savannas of Africa."
45,청동아놀도마뱀,"Bronze anole, Grenada bush anole",Anolis aeneus</em>,유입주의 생물,파충류,Anolis aeneus,"The Grenada bush anole  or bronze anole (Anolis aeneus) is a species of anole lizard found in the Caribbean Lesser Antilles and South America.  It is distributed on Grenada and throughout the Grenadines islands, and it has been introduced to Trinidad and Tobago.  It can also be found in Guyana on the mainland, where it is locally abundant, though these populations are not native, either.Males reach a length of 77 mm snout-to-vent.  Its dorsal surface color is either pale gray, olive, or chocolat"
46,부에시토아놀도마뱀,"Bueycito anole, Spanish flag anole",Anolis allogus</em>,유입주의 생물,파충류,Anolis allogus,"Anolis allogus, the Spanish Flag anole or Bueycito anole , is a species of lizard in the family Dactyloidae. The species is found in Cuba.


== References =="
47,쿠바푸른눈아놀도마뱀,Blue-eyed grass-bush anole,Anolis alutaceus</em>,유입주의 생물,파충류,Anolis alutaceus,"Anolis alutaceus, the blue-eyed grass-bush anole, Monte Verde anole, or blue-eyed twig anole, is a species of lizard in the family Dactyloidae. The species is found on Isla de la Juventud in Cuba.


== References =="
48,히스파니올라녹색아놀도마뱀,Hispaniolan green anole,Anolis chlorocyanus</em>,유입주의 생물,파충류,Anolis chlorocyanus,"There are three species of lizard named Hispaniolan green anole:

Anolis chlorocyanus, endemic to Hispaniola
Anolis callainus, found in the Dominican Republic
Anolis peynadoi, found in the Dominican Republic"
49,큰머리아놀도마뱀,Large-headed anole,Anolis cybotes</em>,유입주의 생물,파충류,Anolis cybotes,"Anolis cybotes, the large-headed anole, Tiburon stout anole, or Hispaniolan stout anole, is a species of anole endemic to the Tiburon Peninsula of Haiti. Reports from other places likely refer to other species that were formerly included in Anolis cybotes. This species gets its name from the male's strangely large head. It is often brownish in color with lighter stripes on the flanks.
Males grow to 79 mm (3.1 in) and females to 57 mm (2.2 in) in snout–vent length."
50,자메이카거대아놀도마뱀,Jamaican giant anole,Anolis garmani</em>,유입주의 생물,파충류,Anolis garmani,"Anolis garmani, also known commonly as the Jamaican giant anole, the Jamaican anole, and the Jamaica giant anole, is a species of lizard in the family Dactyloidae. The species is endemic to Jamaica, but has been introduced to Florida."
51,아바나아놀도마뱀,"Cuban white-fanned anole, Habana anole",Anolis homolechis</em>,유입주의 생물,파충류,Anolis homolechis,"Anolis homolechis, the Habana anole or Cuban white-fanned anole, is a species of lizard in the family Dactyloidae. The species is found in Cuba.


== References =="
52,퀴라소줄무늬아놀도마뱀,"Curacao striped anole, Striped anole",Anolis lineatus</em>,유입주의 생물,파충류,Anolis lineatus,"The Curacao striped anole or striped anole (Anolis lineatus) is a species of lizard in the family Dactyloidae. It is native to Curaçao and Aruba of the Netherlands Antilles, but has also been introduced to Klein Curaçao. It is generally common (at least on Curaçao), and is particularly common in densely vegetated gardens in the capital Willemstad. It is found in dry tropical shrubland at all elevations in its range, but is uncommon in habitats without larger trees. It can often be seen on rocks,"
53,그레나다나무아놀도마뱀,Grenada Tree Anole,Anolis richardii</em>,유입주의 생물,파충류,Anolis richardii,"Anolis richardii, commonly known as the Grenada tree anole or Richard's anole, is a species of anole lizard in the family Dactyloidae. The species is found in the Caribbean."
54,갈색도마뱀,,Anolis sagrei</em>,유입주의 생물,파충류,Anolis sagrei,"The brown anole (Anolis sagrei), also known commonly as the Cuban brown anole, or De la Sagra's anole, is a species of lizard in the family Dactyloidae. The species is native to Cuba and the Bahamas. It has been widely introduced elsewhere, via the importation and exportation of plants where the anole would lay eggs in the soil of the pots, and is now found in Florida and as far north in the United States as southern Georgia, Texas, Louisiana, Tennessee, Mississippi, Alabama, Hawaii, and Souther"
55,와츠아놀도마뱀,Watts&apos; Anole,Anolis wattsi</em>,유입주의 생물,파충류,Anolis wattsi,"Anolis wattsii, commonly known as Watts's anole or the Antigua Bank bush anole, is a species of anole, a lizard in the family Dactyloidae. The species is native to islands in the Caribbean Lesser Antilles."
56,백포도덩굴,,Anredera cordifolia</em> (Ten.) Steenis,유입주의 생물,식물,Anredera cordifolia,"Anredera cordifolia, commonly known as the Madeira vine or mignonette vine, is a South American species of ornamental succulent vine of the family Basellaceae. The combination of fleshy leaves and thick aerial tubers makes this a very heavy vine. It smothers trees and other vegetation it grows on and can easily break branches and bring down entire trees on its own. Other names include lamb's tail and potato vine."
57,겨이삭아재비,,Apera spica-venti</em> (L.) P.Beauv.,유입주의 생물,식물,Apera spica-venti,"Apera spica-venti, the loose silky-bent or common windgrass, is an annual or biannual plant  in the genus Apera. It belongs to the family Poaceae.
This species is native to Eurasia and North Africa from the Canary Islands to Denmark to Yakutia. It occurs in pastures with sandy soil.
It has naturalized in the United States, Canada, and Russian Far East.
This species of grass grows to about 40–100 centimetres (16–39 in) high.


== References =="
58,붉은눈검은찌르레기,,Aplonis panayensis</em>,유입주의 생물,조류,Aplonis panayensis,"The Asian glossy starling (Aplonis panayensis) is a species of starling in the family Sturnidae. It is found in Bangladesh, Brunei, India, Indonesia, Malaysia, Myanmar, the Philippines, Singapore, Taiwan (introduced), Cambodia and Thailand. Its natural habitats are subtropical or tropical moist lowland forest and subtropical or tropical mangrove forest. There is also a huge number of this species inhabiting towns and cities, where they take refuge in abandoned buildings and trees. They often mov"
59,남아프리카민들레,Capeweed,Arctotheca calendula</em> (L.) Levyns,유입주의 생물,식물,Arctotheca calendula,"Arctotheca calendula is a plant in the sunflower family commonly known as capeweed, plain treasureflower, cape dandelion, or cape marigold because it originates from the Western Cape Province in South Africa. It is also found in neighboring KwaZulu-Natal."
60,민거치자금우,"Shoebutton ardisia, Coralberry, Duck&apos;s eye",Ardisia elliptica</em> Thunb.,유입주의 생물,식물,Ardisia elliptica,"Ardisia elliptica is an evergreen tree, also known as the shoebutton ardisia, duck's eye and coralberry, native to the west coast of India, Sri Lanka, Indochina, Malaysia, Indonesia and New Guinea. It is a prolific reproducer which has made it a successful invasive species in other locations in the tropics where it has been introduced as a garden ornamental."
61,스페인민달팽이,Spanish slug,Arion vulgaris</em>,유입주의 생물,무척추동물,Arion vulgaris,"The Spanish slug (Arion vulgaris, but formerly widely referred to as Arion lusitanicus owing to a misidentification) is an air-breathing land slug, a terrestrial pulmonate gastropod mollusk in the family Arionidae, the roundback slugs. Other vernacular names are Lusitanian slug, Iberian slug, and killer slug.
It is a large, conspicuous slug, which has spread across much of Europe since the 1950s and now reached North America. It may attain high densities and be a serious horticultural and agricu"
62,남아공비짜루,,Asparagus aethiopicus</em> L.,유입주의 생물,식물,Asparagus aethiopicus,"Asparagus aethiopicus, Sprenger's asparagus, is a plant native to the Cape Provinces and the Northern Provinces of South Africa. Often used as an ornamental plant, it is considered an invasive weed in many locations. Asparagus fern, asparagus grass and foxtail fern are common names; however, it is unrelated to true ferns. A. aethiopicus has been confused with A. densiflorus, now regarded as a separate species, so that information about A. aethiopicus will often be found under the name A. densifl"
63,아프리카밀나물,African asparagus fern,Asparagus asparagoides </em> (L.) Druce,유입주의 생물,식물,Asparagus asparagoides ,"Asparagus asparagoides, commonly known as bridal creeper, bridal-veil creeper, gnarboola, smilax or smilax asparagus, is a herbaceous climbing plant  of the family Asparagaceae native to eastern and southern Africa. Sometimes grown as an ornamental plant, it has become a serious environmental weed in Australia and New Zealand."
64,남아프리카덩굴비짜루,"Climbing asparagus fern, Krulkransie",Asparagus scandens</em> Thunb.,유입주의 생물,식물,Asparagus scandens,Asparagus scandens (also known as climbing asparagus fern or krulkransie) is a plant native to South Africa in the genus Asparagus.
65,아스피우스황어,Asp,Aspius aspius</em>,유입주의 생물,어류,Aspius aspius,Asp may refer to:
66,네발가락고슴도치,African pigmy hedgehog,Atelerix albiventris</em>,유입주의 생물,포유류,Atelerix albiventris,"The four-toed hedgehog (Atelerix albiventris), also known as the African pygmy hedgehog, is a species of hedgehog found throughout much of central and eastern Africa.
Populations tend to be scattered between suitable savannah or cropland habitats, avoiding forested areas. The species common name is derived from the number of toes found on its hind feet. Due to its extensive range and stable wild population, the species is rated as least concern by the IUCN. In addition, the species is a popular "
67,엘리게이터가,Alligator gar,Atractosteus spatula</em>,유입주의 생물,어류,Atractosteus spatula,"The alligator gar (Atractosteus spatula) is a euryhaline ray-finned fish in the clade Ginglymodi of the infraclass Holostei , being most closely related to the bowfins. It is the largest species in the gar family (Lepisosteidae), and is among the largest freshwater fish in North America. The fossil record traces its group's existence back to the Early Cretaceous over 100 million years ago. Gars are often referred to as ""primitive fishes"" or ""living fossils,"" because they have retained some morph"
68,시드니깔대기거미,Sydney funnel-web spider,Atrax robustus</em>,유입주의 생물,무척추동물,Atrax robustus,"The Sydney funnel-web spider (Atrax robustus) is a species of venomous mygalomorph spider native to eastern Australia, usually found within a 100 km (62 mi) radius of Sydney. It is a member of a group of spiders known as Australian funnel-web spiders.  Its bite is capable of causing serious illness or death in humans if left untreated.The Sydney funnel-web has a body length ranging from 1 to 5 cm (0.4 to 2 in). Both sexes are glossy and darkly coloured, ranging from blue-black, to black, to shad"
69,호주갯는쟁이,,Atriplex semibaccata</em> R.Br.,유입주의 생물,식물,Atriplex semibaccata,"Atriplex semibaccata, commonly known as Australian saltbush, berry saltbush, or creeping saltbush, is a species of flowering plant in the family Amaranthaceae and is endemic to Australia. It is a perennial herb native to Western Australia, South Australia, Queensland and New South Wales, but has been introduced into other states and to overseas countries. It flowers and fruits in spring, and propagates from seed when the fruit splits open. This species of saltbush is adapted to inconsistent rain"
70,카멜레온틸라피아,,Australoheros facetus</em>,유입주의 생물,어류,Australoheros facetus,"Australoheros facetus, formerly Cichlasoma facetum, the chameleon cichlid or chanchito, is a species of cichlid from the subfamily Cichlasomatinae which is native to northern Argentina, Paraguay, Uruguay and southern Brazil."
71,가는잎귀리,,Avena barbata</em> Pott ex Link,유입주의 생물,식물,Avena barbata,"Avena barbata is a species of wild oat known by the common name slender wild oat. It has edible seeds. It is a diploidized autotetraploid grass (2n=4x=28). Its diploid ancestors are A. hirtula Lag. and A. wiestii Steud (2n=2x=14), which are considered Mediterranean and desert  ecotypes, respectively, comprising a single species.  A westie and A. hirtula are widespread in the Mediterranean Basin, growing in mixed stands with A. barbata, though they are difficult to tell apart.
This is a winter an"
72,루이지애나잔디,,Axonopus compressus</em> (Sw.) P.Beauv.,유입주의 생물,식물,Axonopus compressus,"Axonopus compressus (syn. Axonopus compressus (Sw.) P.Beauv. var. australis G.A.Black, Milium compressum Sw., Paspalum compressum (Sw.) Nees, Paspalum platycaule Willd. ex Steud., Paspalum platycaulon Poir.) is a species of grass. It is often used as a permanent pasture, groundcover, and turf in moist, low fertility soils, particularly in shaded situations.  It is generally too low-growing to be useful in cut-and-carry systems or for fodder conservation.
While not optimal, it is occasionally use"
73,융단풀,,Axonopus fissifolius</em> (Raddi) Kuhlm.,유입주의 생물,식물,Axonopus fissifolius,"Axonopus fissifolius is a grass species which is often used as permanent pasture.
Common names include common carpetgrass, caratao grass, and Louisiana grass in the United States, and mat grass, narrow-leaved carpet grass, and Durrington grass in Australia."
74,레이서망둑,,Babka gymnotrachelus</em>,유입주의 생물,어류,Babka gymnotrachelus,"The racer goby (Babka gymnotrachelus) is a species of goby native to fresh, sometimes brackish, waters, of the Black Sea basin. It is a Ponto-Caspian relict species. The species is placed a monotypic genus, Babka, which was once considered a subgenus of genus Neogobius, but was then elevated to genus-status based on the molecular analysis."
75,큰검은집거미,Large black house spider,Badumna insignis</em>,유입주의 생물,무척추동물,Badumna insignis,"The black house spider or common black spider (Badumna insignis) is a common species of cribellate Australian spider, introduced to New Zealand and Japan. A closely related species, Badumna longinqua, the grey house spider, has a similar distribution, but has also been introduced to the Americas.Ludwig Carl Christian Koch described Badumna insignis in 1872."
